date,symbol_id,symbol_name,open,high,low,close
2025-10-16,10,TSLA,434.73,439.35,421.31,428.75
2025-10-15,10,TSLA,434.90,440.51,426.33,435.15
2025-10-14,10,TSLA,426.79,434.20,417.86,429.24
2025-10-13,10,TSLA,423.53,436.89,419.70,435.90
2025-10-10,10,TSLA,436.54,443.13,411.45,413.49
2025-10-09,10,TSLA,431.81,436.35,426.18,435.54
2025-10-08,10,TSLA,437.57,441.33,425.23,438.69
2025-10-07,10,TSLA,447.82,452.68,432.45,433.09
2025-10-06,10,TSLA,440.75,453.55,436.69,453.25
2025-10-03,10,TSLA,443.28,446.77,416.58,429.83
2025-10-02,10,TSLA,470.54,470.75,435.57,436.00
2025-10-01,10,TSLA,443.80,462.29,440.75,459.46
2025-09-30,10,TSLA,441.52,445.00,433.12,444.72
2025-09-29,10,TSLA,444.35,450.98,439.50,443.21
2025-09-26,10,TSLA,428.30,440.47,421.02,440.40
2025-09-25,10,TSLA,435.24,435.35,419.08,423.39
2025-09-24,10,TSLA,429.83,444.21,429.03,442.79
2025-09-23,10,TSLA,439.88,440.97,423.72,425.85
2025-09-22,10,TSLA,431.11,444.98,429.13,434.21
2025-09-19,10,TSLA,421.82,429.47,421.72,426.07
2025-09-18,10,TSLA,428.86,432.22,416.56,416.85
2025-09-17,10,TSLA,415.75,428.31,409.67,425.86
2025-09-16,10,TSLA,414.50,423.25,411.43,421.62
2025-09-15,10,TSLA,423.13,425.70,402.43,410.04
2025-09-12,10,TSLA,370.94,396.69,370.24,395.94
2025-09-11,10,TSLA,350.17,368.99,347.60,368.81
2025-09-10,10,TSLA,350.55,356.33,346.07,347.79
2025-09-09,10,TSLA,348.44,350.77,343.82,346.97
2025-09-08,10,TSLA,354.64,358.44,344.84,346.40
2025-09-05,10,TSLA,348.00,355.87,344.68,350.84
2025-09-04,10,TSLA,336.15,338.89,331.48,338.53
2025-09-03,10,TSLA,335.20,343.33,328.51,334.09
2025-09-02,10,TSLA,328.23,333.33,325.60,329.36
2025-08-29,10,TSLA,347.23,348.75,331.70,333.87
2025-08-28,10,TSLA,350.91,353.55,340.26,345.98
2025-08-27,10,TSLA,351.94,355.39,349.16,349.60
2025-08-26,10,TSLA,344.93,351.90,343.72,351.67
2025-08-25,10,TSLA,338.90,349.53,335.03,346.60
2025-08-22,10,TSLA,321.66,340.25,319.69,340.01
2025-08-21,10,TSLA,322.08,324.90,318.68,320.11
2025-08-20,10,TSLA,329.22,331.37,314.60,323.90
2025-08-19,10,TSLA,335.79,340.55,327.85,329.31
2025-08-18,10,TSLA,329.62,336.27,329.59,335.16
2025-08-15,10,TSLA,337.66,339.30,327.02,330.56
2025-08-14,10,TSLA,335.76,340.47,330.40,335.58
2025-08-13,10,TSLA,341.50,348.98,338.20,339.38
2025-08-12,10,TSLA,345.00,345.26,332.94,340.84
2026-01-02,9,IBM,297.56,297.57,289.00,291.50
2025-12-31,9,IBM,301.76,301.85,295.87,296.21
2025-12-30,9,IBM,306.15,306.24,302.00,302.05
2025-12-29,9,IBM,304.65,310.00,303.75,305.74
2025-12-26,9,IBM,304.69,305.75,303.67,305.09
2025-12-24,9,IBM,303.76,305.15,302.30,304.56
2025-12-23,9,IBM,301.34,305.13,300.65,303.78
2025-12-22,9,IBM,301.03,303.18,298.32,302.79
2025-12-19,9,IBM,300.35,306.86,299.10,300.98
2025-12-18,9,IBM,303.15,304.45,295.70,300.45
2025-12-17,9,IBM,303.79,306.25,303.08,303.32
2025-12-16,9,IBM,307.32,307.38,300.42,303.18
2025-12-15,9,IBM,308.98,311.36,306.35,308.66
2025-12-12,9,IBM,310.57,311.05,303.33,309.24
2025-12-11,9,IBM,312.00,313.44,308.40,310.74
2025-12-10,9,IBM,310.23,314.69,306.65,312.67
2025-12-09,9,IBM,309.63,313.97,308.75,310.48
2025-12-08,9,IBM,309.62,315.35,307.95,309.18
2025-12-05,9,IBM,308.59,311.83,307.18,307.94
2025-12-04,9,IBM,302.88,309.61,302.54,307.99
2025-12-03,9,IBM,302.88,303.97,298.90,302.62
2025-12-02,9,IBM,307.00,310.47,301.57,301.78
2025-12-01,9,IBM,306.50,307.12,302.80,305.67
2025-11-28,9,IBM,304.06,309.18,303.60,308.58
2025-11-26,9,IBM,305.18,306.60,301.64,303.21
2025-11-25,9,IBM,304.12,306.00,297.06,304.48
2025-11-24,9,IBM,299.18,307.18,297.51,304.12
2025-11-21,9,IBM,293.48,300.48,291.89,297.44
2025-11-20,9,IBM,294.64,300.71,290.16,290.40
2025-11-19,9,IBM,290.50,291.11,288.07,288.53
2025-11-18,9,IBM,297.00,297.00,289.92,289.95
2025-11-17,9,IBM,305.59,306.00,296.51,297.17
2025-11-14,9,IBM,300.00,307.72,297.59,305.69
2025-11-13,9,IBM,312.29,314.60,303.68,304.86
2025-11-12,9,IBM,319.89,324.90,314.53,314.98
2025-11-11,9,IBM,309.00,317.91,308.43,313.72
2025-11-10,9,IBM,306.82,309.94,304.23,309.13
2025-11-07,9,IBM,309.68,310.00,302.63,306.38
2025-11-06,9,IBM,306.75,315.44,301.09,312.42
2025-11-05,9,IBM,301.38,307.20,299.71,306.77
2025-11-04,9,IBM,300.00,303.17,296.00,300.85
2025-11-03,9,IBM,308.00,312.14,304.23,304.73
2025-10-31,9,IBM,312.00,313.50,301.63,307.41
2025-10-30,9,IBM,306.65,313.75,305.02,310.06
2025-10-29,9,IBM,312.79,314.33,307.52,308.21
2025-10-28,9,IBM,312.60,319.35,311.41,312.57
2025-10-27,9,IBM,307.80,313.50,302.88,313.09
2025-10-24,9,IBM,283.77,310.75,282.21,307.46
2025-10-23,9,IBM,264.95,285.58,263.56,285.00
2025-10-22,9,IBM,281.99,289.17,281.35,287.51
2025-10-21,9,IBM,283.31,285.31,281.60,282.05
2025-10-20,9,IBM,281.25,285.50,280.96,283.65
2025-10-17,9,IBM,276.15,283.40,275.35,281.28
2025-10-16,9,IBM,281.11,282.56,275.60,275.97
2025-10-15,9,IBM,278.38,285.45,277.00,280.75
2025-10-14,9,IBM,275.52,277.53,272.55,276.15
2025-10-13,9,IBM,279.79,282.44,274.64,277.22
2025-10-10,9,IBM,288.97,290.38,277.50,277.82
2025-10-09,9,IBM,289.82,290.13,283.32,288.23
2025-10-08,9,IBM,294.16,294.20,286.47,289.46
2025-10-07,9,IBM,295.55,301.04,293.29,293.87
2025-10-06,9,IBM,288.61,291.45,287.80,289.42
